CODE1;X_COORD;Y_COORD;SITE;DESCRIPTIO;KIND;PERFECTURE;D_D
112;619253;3896920;ΚΑΡΔΟΥΛΙΑΝΟ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΕΡΑΣ ΚΑΡΔΟΥΛΙΑΝΟΥ ΠΕΔΙΑΔΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΚΑΣΤΕΛΛΙΟΥ
113;624418;3896650;ΛΥΤΤΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΛΥΤΤΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΚΑΣΤΕΛΛΙΟΥ
114;566635;3890750;ΑΠΟΔΟΥΛΟΥ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΠΟΔΟΥΛΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΡΕΘΥΜΝΟΥ;ΚΟΥΡΗΤΩΝ
115;560914;3898500;ΜΟΝΑΣΤΗΡΑΚΙ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΜΟΝΑΣΤΗΡΑΚΙΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΡΕΘΥΜΝΟΥ;ΣΥΒΡΙΤΟΥ
124;629179;3895620;ΚΑΤΩ ΜΕΤΟΧΙ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΑΤΩ ΜΕΤΟΧΙΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
125;630374;3892840;ΠΛΑΤΗ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΠΛΑΤΗΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
129;631635;3892200;ΑΓΙΟΣ ΚΥΡΙΛΛΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΨΥΧΡΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
131;633403;3895760;ΠΙΝΑΚΙΑΝΟ ΛΑΓΟΥ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΛΑΓΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
132;648026;3902410;ΔΡΗΡΟΣ;ΑΡΧΑΙΑ ΠΟΛΗ ΔΡΗΡΟΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΝΕΑΠΟΛΗΣ
137;627104;3897830;ΚΑΣΤΡΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΑΣΤΡΙΩΝ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΚΑΣΤΕΛΛΙΟΥ
139;558081;3901750;ΘΡΟΝΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΣΥΒΡΙΤΟΥ-ΘΡΟΝΟΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΡΕΘΥΜΝΟΥ;ΣΥΒΡΙΤΟΥ
144;594303;3889490;ΣΠΗΛΙΩΤΙΣΣΑ ΑΓΙΟΥ ΘΩΜΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΣΠΗΛΙΩΤΙΣΣΑΣ ΑΓΙΟΥ ΘΩΜΑ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ
145;592630;3906370;ΤΥΛΙΣΣΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΤΥΛΙΣΣΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΤΥΛΙΣΟΥ
150;497873;3922600;ΥΨΩΜΑ ΤΕΜΠΛΑΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΒΑΡΥΠΕΤΡΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΘΕΡΙΣΟΥ
152;587052;3879890;ΑΡΧΑΙΑ ΓΟΡΤΥΝΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΓΟΡΤΥΝΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΓΟΡΤΥΝΑΣ
155;590591;3895010;ΑΝΩ ΑΣΙΤΕΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΝΩ ΑΣΙΤΩΝ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΓΟΡΓΟΛΑΙΝΗ
156;590890;3892380;ΣΙΔΗΡΟΣΠΗΛΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΠΡΙΝΙΑ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΓΟΡΓΟΛΑΙΝΗ
164;640346;3884340;ΣΕΛΕΚΑΝΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΣΕΛΕΚΑΝΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΙΕΡΑΠΕΤΡΑΣ
170;650589;3893920;ΓΟΥΛΑΣ, ΚΟΝΤΑΡΑΤΟΣ;ΑΡΧΑΙΑ ΠΟΛΗ ΛΑΤΩ-ΚΟΝΤΑΡΑΤΟΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
171;690315;3888550;Ν.ΠΡΑΙΣΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΠΡΑΙΣΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΣΗΤΕΙΑΣ
172;603970;3901530;ΑΝΕΜΟΣΠΗΛΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΡΧΑΝΩΝ - ΑΝΕΜΟΣΠΗΛΙΑ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΑΡΧΑΝΩΝ
173;605325;3900730;ΛΟΦΟΣ ΦΟΥΡΝΙ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΡΧΑΝΩΝ - ΦΟΥΡΝΙ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΑΡΧΑΝΩΝ
174;605390;3899600;ΤΟΥΡΚΟΓΕΙΤΟΝΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΡΧΑΝΩΝ - ΤΟΥΡΚΟΓΕΙΤΟΝΙΑ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΑΡΧΑΝΩΝ
178;605261;3906590;ΕΛΛΗΝΙΚΑ ΚΝΩΣΣΟΥ;ΜΕΣΟΜΙΝΩΙΚΟΣ ΟΙΚΙΣΜΟΣ ΚΝΩΣΣΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΗΡΑΚΛΕΙΟΥ
180;631662;3891720;ΔΙΚΤΑΙΟ ΑΝΤΡΟ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΨΥΧΡΟΥ-ΔΙΚΤΑΙΟ ΑΝΤΡΟ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
206;574719,26;3877533,99;ΦΑΙΣΤΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΦΑΙΣΤΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΤΥΜΠΑΚΙΟΥ
285;568094,48;3872054,83;ΜΑΤΑΛΑ;ΑΚΡΟΠΟΛΗ ΜΑΤΑΛΩΝ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΤΥΜΠΑΚΙΟΥ
